Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR28499033_1	0.16990938924240317	0.13779880208441264
SRR28499033_2	0.5344636193831136	0.10421153328074362
SRR28499036_1	2.102808831924088	6.38293669229617
SRR28499036_2	6.804577907603264	1.9431491645312278
SRR28499039_1	0.4216384277219867	0.5489669297586043
SRR28499039_2	0.5838592865610917	0.233337792518717
SRR28499042_1	0.3642567820388048	0.4588553022134975
SRR28499042_2	0.9212163688926736	0.0
SRR28499045_1	0.2235359966929563	0.22290611151223563
SRR28499045_2	1.317785716284187	0.1380766910109965
SRR28499048_1	0.5827595607274818	0.26629751241203403
SRR28499048_2	0.8829661720496038	0.1339550945054222
