Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR28499036_2 - polya	(1, 0.0817488540026989)	(2, 0.0877316820163598)	(3, 0.0897212545397706)	(4, 0.09361573692602156)	(5, 0.0957393586620026)	(6, 0.09803936094083922)	(7, 0.10081911829624297)	(8, 0.10786022956703727)	(9, 0.11840073080808605)	(10, 0.1300136257496967)	(11, 0.13341424261595203)	(12, 0.13718173101134698)	(13, 0.14176762512559177)	(14, 0.14771517703068154)	(15, 0.1588694825608677)	(16, 0.17135722499504194)	(17, 0.17786919463726952)	(18, 0.18465631792635182)	(19, 0.19034988184972956)	(20, 0.1973698274553812)	(21, 0.2044179939478897)	(22, 0.21261616157981653)	(23, 0.22021463536603442)	(24, 0.2306986948333694)	(25, 0.2394965563110052)	(26, 0.25282387012917196)	(27, 0.26318799082736516)	(28, 0.275379413949542)	(29, 0.28552482277459434)	(30, 0.29700366850363474)	(31, 0.3080380352646791)	(32, 0.3202576792737129)	(33, 0.3345092271364428)	(34, 0.34738500676489936)	(35, 0.36307581985733073)	(36, 0.3748298192332258)	(37, 0.38565958456455773)	(38, 0.39684211098160077)	(39, 0.40861727602263853)	(40, 0.42422342645449923)	(41, 0.4359844810521085)	(42, 0.44826762205657034)	(43, 0.46078358537760145)	(44, 0.47878851119229787)	(45, 0.5022894547223739)	(46, 0.5250072686421711)	(47, 0.5465256948705505)	(48, 0.5702524054954815)	(49, 0.5909594812267253)	(50, 0.6149684007202253)	(51, 0.6454187376388106)	(52, 0.6902687820761245)	(53, 0.7341310954734473)	(54, 0.8098477349104858)	(55, 0.8693867509568115)	(56, 0.9255251501368819)	(57, 0.9839423859306462)	(58, 1.067088173832761)	(59, 1.1444698455943563)	(60, 1.2071272696383684)	(61, 1.2621579990093057)	(62, 1.3156789109333995)	(63, 1.362130490699842)	(64, 1.4054989385771692)	(65, 1.4536931581070247)
SRR28499036_2 - polyg	(1, 12.633877241540947)	(2, 12.645779400572842)	(3, 12.649984312714519)	(4, 12.653420205689345)	(5, 12.656178797379606)	(6, 12.659283094933864)	(7, 12.662690767021834)	(8, 12.668257336954355)	(9, 12.674875134922296)	(10, 12.681683423876521)	(11, 12.68687606705819)	(12, 12.692435581768997)	(13, 12.69952607959179)	(14, 12.701515652115202)	(15, 12.703180684439758)	(16, 12.704711667551745)	(17, 12.706122711894588)	(18, 12.70737854135972)	(19, 12.708655536489994)	(20, 12.709763206299128)	(21, 12.710793268669404)	(22, 12.71197149069568)	(23, 12.713255541047667)	(24, 12.714398486965372)	(25, 12.715555543326504)	(26, 12.716677323579066)	(27, 12.717862600827056)	(28, 12.718991436301332)	(29, 12.720028553893322)	(30, 12.721234996806453)	(31, 12.722342666615587)	(32, 12.723746655736717)	(33, 12.72522119707499)	(34, 12.72717549348983)	(35, 12.72916506601324)	(36, 12.731676724943503)	(37, 12.7337086287972)	(38, 12.735288998461186)	(39, 12.736954030785743)	(40, 12.738901271978868)	(41, 12.740954341497707)	(42, 12.742499435053121)	(43, 12.743938700282822)	(44, 12.745476738616523)	(45, 12.747099439610794)	(46, 12.748609257057637)	(47, 12.750295455047338)	(48, 12.752066315697608)	(49, 12.753837176347878)	(50, 12.755600981776432)	(51, 12.757371842426704)	(52, 12.759050985194687)	(53, 12.760998226387814)	(54, 12.762599761716942)	(55, 12.764483505914638)	(56, 12.766247311343195)	(57, 12.768166331649464)	(58, 12.770078296734019)	(59, 12.771729218615146)	(60, 12.773620018034558)	(61, 12.775306216024257)	(62, 12.777034745344242)	(63, 12.778981986537367)	(64, 12.780964503839064)	(65, 12.782918800253903)
SRR28499039_1 - illumina_universal_adapter	(1, 0.011366309778070956)	(2, 0.01172427472887384)	(3, 0.0180975269972922)	(4, 0.04056075025025256)	(5, 0.05737034149671789)	(6, 0.06812774182239219)	(7, 0.07757875459565183)	(8, 0.08518827757045129)	(9, 0.0911334480420332)	(10, 0.10250713854073927)	(11, 0.11007975791236317)	(12, 0.11558208514583843)	(13, 0.12121357499042813)	(14, 0.12688565879851094)	(15, 0.13136206586370577)	(16, 0.13545467545587483)	(17, 0.13900480208136323)	(18, 0.14206042042429917)	(19, 0.1445883172418247)	(20, 0.14667706118156112)	(21, 0.14842998233239998)	(22, 0.15014969024038086)	(23, 0.15162583436740304)	(24, 0.1529801966039459)	(25, 0.15428658415636057)	(26, 0.15532357540559366)	(27, 0.15631259197069855)	(28, 0.15721673024849964)	(29, 0.15804706131994964)	(30, 0.1590360778850545)	(31, 0.15994390652317317)	(32, 0.1608369737200216)	(33, 0.161829680645444)	(34, 0.16267108279784667)	(35, 0.16373390656930267)	(36, 0.16480411106139375)	(37, 0.1658964577153902)	(38, 0.16695928148684616)	(39, 0.1681180546265586)	(40, 0.16925099524404813)	(41, 0.17050202739169945)	(42, 0.1720150751218972)	(43, 0.17360562041876362)	(44, 0.1752183078775354)	(45, 0.17695277722678648)	(46, 0.17903045008557023)	(47, 0.18121883375388065)	(48, 0.18355852219521082)	(49, 0.186163916579405)	(50, 0.1890350169064632)	(51, 0.1919282593954267)	(52, 0.19523482223995645)	(53, 0.1991613656178355)	(54, 0.20315433548143058)	(55, 0.20779311840059783)	(56, 0.21252785068802155)	(57, 0.2182552899008677)	(58, 0.22432593262324652)	(59, 0.23100548479802196)	(60, 0.23843787047757875)	(61, 0.24656404389683598)	(62, 0.25555376163040117)	(63, 0.2652594092655722)	(64, 0.27594300238489533)	(65, 0.2869845604550214)
SRR28499039_1 - polya	(1, 0.005893505427136142)	(2, 0.012919951471761825)	(3, 0.01579843251945512)	(4, 0.022647741268838135)	(5, 0.025087069438742324)	(6, 0.02745628076261296)	(7, 0.031205686845249353)	(8, 0.03656039966602239)	(9, 0.0479636130472689)	(10, 0.06127105235237405)	(11, 0.06518652464930044)	(12, 0.06856689470018129)	(13, 0.07330531734792256)	(14, 0.07801790747344094)	(15, 0.08363463587676041)	(16, 0.09080131561345321)	(17, 0.09645494761994824)	(18, 0.10130408107721618)	(19, 0.10619380849797722)	(20, 0.11283276670925957)	(21, 0.12104012805550302)	(22, 0.13121445145100355)	(23, 0.14313062491639028)	(24, 0.1516885704928015)	(25, 0.16130564948035114)	(26, 0.17386394564099253)	(27, 0.18537048911113058)	(28, 0.2001909761464335)	(29, 0.21057195971971712)	(30, 0.21855420908658968)	(31, 0.22490900955342027)	(32, 0.23078406317896863)	(33, 0.23919439434267764)	(34, 0.24720247623177308)	(35, 0.2541071403859194)	(36, 0.2593179291543078)	(37, 0.26403420964014374)	(38, 0.2687984648101079)	(39, 0.27448161969914336)	(40, 0.28137521277233707)	(41, 0.286257559472463)	(42, 0.2915938204916482)	(43, 0.29671973097273285)	(44, 0.3018567125347701)	(45, 0.308134015434932)	(46, 0.314817257970025)	(47, 0.32096170789875494)	(48, 0.3262094002703189)	(49, 0.3310290108450464)	(50, 0.3355755347562748)	(51, 0.3401515815500436)	(52, 0.34456156212952244)	(53, 0.3507355349407928)	(54, 0.35851850485051734)	(55, 0.366674201152315)	(56, 0.37336482440804314)	(57, 0.37897417209072753)	(58, 0.3840705596892717)	(59, 0.38855803783541915)	(60, 0.39305658706251934)	(61, 0.3978208422324835)	(62, 0.40373648982152494)	(63, 0.4088734713835622)	(64, 0.4149219719440357)	(65, 0.4225942310442336)
SRR28499039_2 - illumina_universal_adapter	(1, 0.0113958326606114)	(2, 0.011753797611414284)	(3, 0.018267283571899752)	(4, 0.040859669435974556)	(5, 0.057953418426891654)	(6, 0.06880307776050484)	(7, 0.0782688519750347)	(8, 0.08583040026570594)	(9, 0.09167593100871387)	(10, 0.1030348600661497)	(11, 0.11058902763618583)	(12, 0.11605445126648553)	(13, 0.12160475318408902)	(14, 0.1272546948302665)	(15, 0.13171265009387353)	(16, 0.1357388332003266)	(17, 0.1392372947813692)	(18, 0.14230398420525783)	(19, 0.14486509426564137)	(20, 0.14693907676410756)	(21, 0.14866247503240598)	(22, 0.15033789861657618)	(23, 0.15178821022137548)	(24, 0.15313519173728324)	(25, 0.15442312748811013)	(26, 0.15545273801670811)	(27, 0.15645282566276564)	(28, 0.15739017718342474)	(29, 0.15824634077709762)	(30, 0.1592021440993445)	(31, 0.16010997273746316)	(32, 0.1610251820962169)	(33, 0.16196622397719357)	(34, 0.16283714901213667)	(35, 0.16390735350422778)	(36, 0.16497017727568375)	(37, 0.16608097573126795)	(38, 0.16712534770113616)	(39, 0.16827304975989593)	(40, 0.16937277713452747)	(41, 0.17065333216471923)	(42, 0.1721811413361872)	(43, 0.17380489987591163)	(44, 0.1754508005775414)	(45, 0.17725169641250849)	(46, 0.17934413071256244)	(47, 0.18155096618246064)	(48, 0.1839091064253786)	(49, 0.18659937909687657)	(50, 0.18951845410806298)	(51, 0.1924449098398845)	(52, 0.19572564016219132)	(53, 0.19964849317975283)	(54, 0.20361932088144255)	(55, 0.2082876266831503)	(56, 0.21300021680866865)	(57, 0.2187276560215148)	(58, 0.22486841558992715)	(59, 0.2314999930805744)	(60, 0.2389803534442594)	(61, 0.24709545578256398)	(62, 0.2562438590097841)	(63, 0.26603438493225884)	(64, 0.2767548816547576)	(65, 0.2879772673804439)
SRR28499039_2 - polya	(1, 0.026762493022912524)	(2, 0.03245302863258311)	(3, 0.03426130518818531)	(4, 0.03867866648829925)	(5, 0.040918715201055444)	(6, 0.04300745914079186)	(7, 0.04599665099801182)	(8, 0.05387187991567527)	(9, 0.06674754706362643)	(10, 0.08001070204492092)	(11, 0.08300727462277598)	(12, 0.0866053759323926)	(13, 0.09149141299283609)	(14, 0.09752146175172179)	(15, 0.11103556123461004)	(16, 0.12422121864923587)	(17, 0.1305649480351138)	(18, 0.13720021588607859)	(19, 0.14160650610523984)	(20, 0.14808308846254975)	(21, 0.1541426601039759)	(22, 0.16012473417873338)	(23, 0.16532814222648665)	(24, 0.17074190081234056)	(25, 0.17561317643151383)	(26, 0.18427814245713417)	(27, 0.19133042102398273)	(28, 0.1983236538257504)	(29, 0.204313108621143)	(30, 0.21034684774034626)	(31, 0.21537311849285684)	(32, 0.22011523150091566)	(33, 0.2270973932217307)	(34, 0.2338470622425397)	(35, 0.24197323566179693)	(36, 0.2477486495587713)	(37, 0.2525424276112759)	(38, 0.2590780557336667)	(39, 0.26642925348623725)	(40, 0.2808290394453388)	(41, 0.2889625935852312)	(42, 0.2964245021473284)	(43, 0.3037978420618043)	(44, 0.31155128908898844)	(45, 0.3257554859512596)	(46, 0.33701846564043897)	(47, 0.34923724865186523)	(48, 0.3599725068156342)	(49, 0.37090704443655115)	(50, 0.38232132889875037)	(51, 0.3913516405958087)	(52, 0.40192083254528765)	(53, 0.4202619233235385)	(54, 0.4442418846670142)	(55, 0.46285237174844657)	(56, 0.47616719177418687)	(57, 0.48883988910467246)	(58, 0.501280093735152)	(59, 0.5131556732370457)	(60, 0.5246031709421028)	(61, 0.5359547192789036)	(62, 0.5467010485236252)	(63, 0.5573846416429484)	(64, 0.5690277284448361)	(65, 0.5862432593262324)
SRR28499039_2 - polyg	(1, 1.063683625409976)	(2, 1.0654217851195447)	(3, 1.0660306945719413)	(4, 1.066539964295764)	(5, 1.066979117173553)	(6, 1.0675252905005512)	(7, 1.0681378903132654)	(8, 1.0689682213847154)	(9, 1.0702377053339545)	(10, 1.0713116001863632)	(11, 1.072060743330827)	(12, 1.0729538105276755)	(13, 1.0739649692546855)	(14, 1.0744816196991434)	(15, 1.0751606459975735)	(16, 1.0757105096848893)	(17, 1.0761976372468067)	(18, 1.076710597330947)	(19, 1.0772604610182626)	(20, 1.0777844921833555)	(21, 1.0782900715468606)	(22, 1.0787808894690956)	(23, 1.0793455145976816)	(24, 1.080006089094524)	(25, 1.0805854756643802)	(26, 1.0811833140358242)	(27, 1.081932457180288)	(28, 1.0826926714057044)	(29, 1.0833606266231819)	(30, 1.0842426227390778)	(31, 1.085021288766082)	(32, 1.0858885234407074)	(33, 1.086788971358191)	(34, 1.087792749364566)	(35, 1.0888408116947519)	(36, 1.0898999451058902)	(37, 1.0910697893265553)	(38, 1.092575456336118)	(39, 1.0936345897472564)	(40, 1.0949225254980832)	(41, 1.0963839081838354)	(42, 1.0976607728537096)	(43, 1.0989819218473944)	(44, 1.1004322334521937)	(45, 1.1019379004617564)	(46, 1.103436186750684)	(47, 1.1050341127681853)	(48, 1.1067169170729907)	(49, 1.1084809093047823)	(50, 1.1101895461318105)	(51, 1.111787472149312)	(52, 1.1134555150128471)	(53, 1.1152121265240036)	(54, 1.1169687380351598)	(55, 1.1187991567526674)	(56, 1.1207513573606542)	(57, 1.1228253398591206)	(58, 1.1250358656893362)	(59, 1.1269733048560528)	(60, 1.1287520585291146)	(61, 1.130807589225993)	(62, 1.1327044344292165)	(63, 1.134785797648318)	(64, 1.1371697704134587)	(65, 1.139383986603992)
SRR28499042_1 - illumina_universal_adapter	(1, 0.015536748426306243)	(2, 0.0158473405938358)	(3, 0.021937803097346477)	(4, 0.0406982840211147)	(5, 0.05383954573003778)	(6, 0.062093443331512975)	(7, 0.06936558408160164)	(8, 0.07557385740727869)	(9, 0.08041481119084286)	(10, 0.08934344350108916)	(11, 0.09549816645305423)	(12, 0.09993213739640724)	(13, 0.10451247936123972)	(14, 0.1087786591336285)	(15, 0.11256645556752347)	(16, 0.11599010946017689)	(17, 0.11869261832017547)	(18, 0.12118092568532608)	(19, 0.12335150083311887)	(20, 0.12499014226870585)	(21, 0.126525252981783)	(22, 0.12776048160207296)	(23, 0.12893501979882266)	(24, 0.12994176682460815)	(25, 0.13082356297839895)	(26, 0.13160539843459407)	(27, 0.13231940341742063)	(28, 0.13301555827567654)	(29, 0.13363317258582152)	(30, 0.1343364674939057)	(31, 0.1350326223521616)	(32, 0.1357037870360186)	(33, 0.13652846279118327)	(34, 0.13723175769926746)	(35, 0.138052863429518)	(36, 0.13895964975770778)	(37, 0.13992355648452365)	(38, 0.14070896196563287)	(39, 0.14164073846822156)	(40, 0.14260821521995157)	(41, 0.14380060354127194)	(42, 0.1450893825352739)	(43, 0.14636388142961934)	(44, 0.1478704319433834)	(45, 0.14941625273120293)	(46, 0.15115128483947152)	(47, 0.1532683096135523)	(48, 0.1552996537896939)	(49, 0.15767372035759225)	(50, 0.1600549269753189)	(51, 0.16282169628377186)	(52, 0.16575625676318909)	(53, 0.16911208018247398)	(54, 0.17257143432426872)	(55, 0.17643063125644634)	(56, 0.18082890195065804)	(57, 0.18553062476257104)	(58, 0.1907714213365181)	(59, 0.19656914179706986)	(60, 0.202995186642509)	(61, 0.2101495165704313)	(62, 0.21790361068392788)	(63, 0.22603612743832255)	(64, 0.2353289022898104)	(65, 0.24512148062927686)
SRR28499042_1 - polya	(1, 0.00698296873204389)	(2, 0.01632929395724374)	(3, 0.020916775971904476)	(4, 0.02970974733541373)	(5, 0.03307985085435516)	(6, 0.03647851457260965)	(7, 0.0416871809223295)	(8, 0.04921993349114986)	(9, 0.06444608974992654)	(10, 0.08203560250185918)	(11, 0.08739063987305848)	(12, 0.09177463046761364)	(13, 0.09830777606047679)	(14, 0.1046517103328909)	(15, 0.1123201238484483)	(16, 0.12139869720508818)	(17, 0.12894572987356506)	(18, 0.13560025631350872)	(19, 0.1420155910842055)	(20, 0.15084426269685608)	(21, 0.16107238407584676)	(22, 0.17411368508717412)	(23, 0.1890899396019615)	(24, 0.20019985713474298)	(25, 0.21245218264004698)	(26, 0.22887429724505817)	(27, 0.24312226667736245)	(28, 0.2612651332909857)	(29, 0.274384974850424)	(30, 0.2842061133892035)	(31, 0.29261352206198643)	(32, 0.30121014205521834)	(33, 0.312055877744354)	(34, 0.32184845608382046)	(35, 0.33123048155816165)	(36, 0.3381349097420946)	(37, 0.34510359837448196)	(38, 0.35189735578607684)	(39, 0.3596300297500886)	(40, 0.368265920017376)	(41, 0.3747919255604109)	(42, 0.38212475673403984)	(43, 0.3889720645193467)	(44, 0.39612996447218307)	(45, 0.4041161102050983)	(46, 0.41286624126963795)	(47, 0.42091664745100754)	(48, 0.4280245670550461)	(49, 0.43435065120288957)	(50, 0.44066245525107645)	(51, 0.44664581700716316)	(52, 0.45311113212665777)	(53, 0.4614971206499559)	(54, 0.4714610601853007)	(55, 0.4817641520874882)	(56, 0.4904357426039169)	(57, 0.4981184362191308)	(58, 0.505030004452892)	(59, 0.5114846094976443)	(60, 0.5182212465106131)	(61, 0.5250007238225514)	(62, 0.5323835353449781)	(63, 0.5397770569421473)	(64, 0.5476346817781538)	(65, 0.5573737097439082)
SRR28499042_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 7.140049828265736e-05)	(4, 0.00014280099656531473)	(5, 0.0006140442852308534)	(6, 0.0015315406881630004)	(7, 0.0017278920584403083)	(8, 0.0020170640764850707)	(9, 0.002548997788690868)	(10, 0.002845309856563896)	(11, 0.0031808921984923856)	(12, 0.0036200052629307283)	(13, 0.004073398427025603)	(14, 0.004641032388372729)	(15, 0.005169396075664393)	(16, 0.006236833524990121)	(17, 0.007211450326548394)	(18, 0.007721963889269394)	(19, 0.00832529809975785)	(20, 0.008953622484645233)	(21, 0.009578376844618486)	(22, 0.010267391653046128)	(23, 0.010963546511302038)	(24, 0.011591870896189424)	(25, 0.012352286202899724)	(26, 0.013034160961499102)	(27, 0.013723175769926746)	(28, 0.014497871176293578)	(29, 0.015404657504483327)	(30, 0.01622933325964802)	(31, 0.017136119587837766)	(32, 0.018042905916027516)	(33, 0.019088923215868445)	(34, 0.02017421078976484)	(35, 0.0212452182640047)	(36, 0.02230551566350216)	(37, 0.023369383087913757)	(38, 0.024501080985693875)	(39, 0.02587554057763503)	(40, 0.02730712056820231)	(41, 0.029120693224581808)	(42, 0.03110205705192555)	(43, 0.04188710231752094)	(44, 0.29111768162296475)	(45, 0.3380456591192413)	(46, 0.3424796300625943)	(47, 0.3469635813547452)	(48, 0.35337534610052784)	(49, 0.35926588720884706)	(50, 0.3695654090861204)	(51, 0.4752488566191957)	(52, 0.6111989753742895)	(53, 0.6373029975464289)	(54, 0.6780191316921144)	(55, 0.7015920062001336)	(56, 0.7121485698712245)	(57, 0.7191458187029249)	(58, 0.7244008953765285)	(59, 0.7293632300071733)	(60, 0.7337722107761273)	(61, 0.7381312111962836)	(62, 0.7423367005451321)	(63, 0.7458210448613257)	(64, 0.7492232786044944)	(65, 0.7533430873554037)
SRR28499042_2 - illumina_universal_adapter	(1, 0.015354677155685467)	(2, 0.015661699298300892)	(3, 0.021752161801811568)	(4, 0.04057690317403418)	(5, 0.05368603465873007)	(6, 0.06187210178683674)	(7, 0.06914781256183952)	(8, 0.07529539546397633)	(9, 0.0800935089485709)	(10, 0.08892575058613561)	(11, 0.09495552266610603)	(12, 0.09928953291186333)	(13, 0.10381275447806967)	(14, 0.10801110377708993)	(15, 0.11173106973761637)	(16, 0.1150690430323306)	(17, 0.11769301134421827)	(18, 0.12014561846022755)	(19, 0.12224479310973768)	(20, 0.12379418392247134)	(21, 0.1253221545857202)	(22, 0.12652168295686886)	(23, 0.12762839068025003)	(24, 0.1285780173074094)	(25, 0.12941340313731647)	(26, 0.13016667839419852)	(27, 0.1308735433271968)	(28, 0.13153756796122554)	(29, 0.1321730323959412)	(30, 0.1327835066562579)	(31, 0.13348323153942795)	(32, 0.13411155592431534)	(33, 0.13487197123102562)	(34, 0.135553845989625)	(35, 0.13637138169496144)	(36, 0.13727816802315118)	(37, 0.13824207474996705)	(38, 0.1389846399321067)	(39, 0.13990570635995297)	(40, 0.1408410528874558)	(41, 0.14202987118386204)	(42, 0.14335792045191945)	(43, 0.1446324193462649)	(44, 0.14617824013408443)	(45, 0.14778832137035836)	(46, 0.14948051317965733)	(47, 0.1516046780035664)	(48, 0.15366101235410692)	(49, 0.15599937867286395)	(50, 0.15840200544007538)	(51, 0.1612187550973262)	(52, 0.16411761532760208)	(53, 0.1675162790458566)	(54, 0.17091137273919693)	(55, 0.17474914952188977)	(56, 0.1791295700915308)	(57, 0.18389198332698403)	(58, 0.1890792295272191)	(59, 0.19489480011234153)	(60, 0.2013101348830383)	(61, 0.20841805448707684)	(62, 0.21620427882480064)	(63, 0.22430823537988226)	(64, 0.23368312080439516)	(65, 0.243593509966028)
SRR28499042_2 - polya	(1, 0.03897396198758852)	(2, 0.04651742463115127)	(3, 0.04890934132362029)	(4, 0.054221538395850005)	(5, 0.05707041827732803)	(6, 0.06001568883148765)	(7, 0.06396056636160447)	(8, 0.07461352070537694)	(9, 0.09110346578375667)	(10, 0.10711145749872844)	(11, 0.1110277748295322)	(12, 0.11581160821447024)	(13, 0.12216982258654088)	(14, 0.12958476433319485)	(15, 0.14530001400520773)	(16, 0.16169356841090587)	(17, 0.1700402866601485)	(18, 0.17863333662846634)	(19, 0.1849844109507087)	(20, 0.19408083443191926)	(21, 0.20204198999043554)	(22, 0.21006026594757796)	(23, 0.21678619288580428)	(24, 0.22380129184207537)	(25, 0.22985962412135885)	(26, 0.2406839396610097)	(27, 0.2496982525691952)	(28, 0.25830201261225544)	(29, 0.2658811755049595)	(30, 0.2735567290703452)	(31, 0.28001847416492565)	(32, 0.28623031751551686)	(33, 0.2947733871350368)	(34, 0.30288805376486083)	(35, 0.31297337414728615)	(36, 0.32041330606833907)	(37, 0.3264966285220215)	(38, 0.3345577447781335)	(39, 0.3438041093057376)	(40, 0.36068675712467196)	(41, 0.37087917825452127)	(42, 0.3800791324582417)	(43, 0.3893362070605882)	(44, 0.39922160604782214)	(45, 0.4157294012507725)	(46, 0.42990240015988)	(47, 0.44572118055440274)	(48, 0.4588160319394421)	(49, 0.47310327164580185)	(50, 0.48698709853686456)	(51, 0.4975043919339)	(52, 0.5098995184357693)	(53, 0.5312482674222838)	(54, 0.5578128228083465)	(55, 0.5797827561299203)	(56, 0.5956479468483267)	(57, 0.6100244371775397)	(58, 0.6236583623246131)	(59, 0.6371352063754647)	(60, 0.6501086769134236)	(61, 0.6626787346360854)	(62, 0.6752059520597776)	(63, 0.6877046092841568)	(64, 0.7014563452533966)	(65, 0.7221410696058824)
SRR28499042_2 - polyg	(1, 1.4059900519827757)	(2, 1.4096171972955347)	(3, 1.4109273964390214)	(4, 1.411855602916696)	(5, 1.4126195882483206)	(6, 1.4133657234553743)	(7, 1.4140154679897465)	(8, 1.4149758046916483)	(9, 1.4164716451306698)	(10, 1.4176069130533642)	(11, 1.4186100900542356)	(12, 1.41970251767796)	(13, 1.4207378249030587)	(14, 1.4215946308824505)	(15, 1.4224300167123576)	(16, 1.423190432019068)	(17, 1.4238687367527532)	(18, 1.4245756016857516)	(19, 1.4252253462201236)	(20, 1.4259357811780362)	(21, 1.4266747763352616)	(22, 1.4273459410191185)	(23, 1.4282812875466213)	(24, 1.4291773638000687)	(25, 1.4299734793559205)	(26, 1.4308517054847971)	(27, 1.4317941920621282)	(28, 1.4326831282657473)	(29, 1.4336291848679925)	(30, 1.4346644920930909)	(31, 1.4357212194676743)	(32, 1.4368850475896817)	(33, 1.438077435911002)	(34, 1.4393198045811202)	(35, 1.4406621339488341)	(36, 1.4420080333414622)	(37, 1.4433682128337468)	(38, 1.4450746847427025)	(39, 1.4464205841353306)	(40, 1.4480128152470337)	(41, 1.4497514173802164)	(42, 1.4513864887908894)	(43, 1.4530144201517339)	(44, 1.4548494129575982)	(45, 1.4567736563863158)	(46, 1.458522968594241)	(47, 1.4606078631440946)	(48, 1.4626927576939481)	(49, 1.4647098217704333)	(50, 1.466744735971489)	(51, 1.4688046403469437)	(52, 1.4708217044234286)	(53, 1.4729672893968224)	(54, 1.4750914542207316)	(55, 1.4775083610875994)	(56, 1.4797967470575586)	(57, 1.4823171846469365)	(58, 1.4848447622861425)	(59, 1.4870189074588496)	(60, 1.489453664450288)	(61, 1.4918848514168126)	(62, 1.494423139130761)	(63, 1.4970185472433357)	(64, 1.4997281961531626)	(65, 1.5027163070062917)
SRR28499045_1 - illumina_universal_adapter	(1, 0.02112312629300413)	(2, 0.021547932577676194)	(3, 0.025481052834036535)	(4, 0.03545667627754265)	(5, 0.04205582218253457)	(6, 0.04579851203542123)	(7, 0.04881610150585039)	(8, 0.051628612080230965)	(9, 0.05402364061622693)	(10, 0.05800070635031196)	(11, 0.06098899883559133)	(12, 0.06308373327380186)	(13, 0.0650759282639881)	(14, 0.06729517488908528)	(15, 0.06905299399807313)	(16, 0.07067165242759946)	(17, 0.07199734100562781)	(18, 0.07333767807623105)	(19, 0.07434109981761163)	(20, 0.07514676690923106)	(21, 0.07586454304540109)	(22, 0.0764724554872594)	(23, 0.07695585574223106)	(24, 0.07738066202690314)	(25, 0.07788603502073714)	(26, 0.07825957158139706)	(27, 0.07863310814205698)	(28, 0.07901396894900435)	(29, 0.07938750550966427)	(30, 0.07982696028691123)	(31, 0.0802078210938586)	(32, 0.08070586984140517)	(33, 0.08127716105182622)	(34, 0.0816726703513485)	(35, 0.08224396156176954)	(36, 0.08266144360015416)	(37, 0.08321808631800032)	(38, 0.08374543205069668)	(39, 0.08411896861135659)	(40, 0.08462434160519061)	(41, 0.08528352377106105)	(42, 0.08611116360154283)	(43, 0.08686556096915013)	(44, 0.08783236147909346)	(45, 0.08876254075759953)	(46, 0.08990512317844164)	(47, 0.09101840861413395)	(48, 0.09239536691617443)	(49, 0.09393345863653882)	(50, 0.0954715503569032)	(51, 0.09737585439164005)	(52, 0.09958045252416232)	(53, 0.10176307791782226)	(54, 0.10435586110357935)	(55, 0.10709512921508543)	(56, 0.11046428250731216)	(57, 0.11430218756193566)	(58, 0.11838179274404499)	(59, 0.12283493448681423)	(60, 0.12774217949940533)	(61, 0.13338917338702885)	(62, 0.13924124617070094)	(63, 0.14550347674647018)	(64, 0.1523369985326605)	(65, 0.16043761492657957)
SRR28499045_1 - polya	(1, 0.03938247228761554)	(2, 0.04909442286477347)	(3, 0.05423604375856296)	(4, 0.06346459408074923)	(5, 0.06750757803142131)	(6, 0.07089137981622294)	(7, 0.07652372521127154)	(8, 0.0853347934950732)	(9, 0.10171913244009756)	(10, 0.1189311112156037)	(11, 0.12454148387178995)	(12, 0.1294121076529438)	(13, 0.13611379300596002)	(14, 0.14349663326370904)	(15, 0.15142879199301676)	(16, 0.16193176116921923)	(17, 0.1706988839752962)	(18, 0.17849188202514238)	(19, 0.18549386147594402)	(20, 0.19560132135262423)	(21, 0.20683671515757163)	(22, 0.22108237418666077)	(23, 0.2377889799683329)	(24, 0.25101656876346656)	(25, 0.26487404273932086)	(26, 0.2837339769295031)	(27, 0.2992833517977582)	(28, 0.31895627732584736)	(29, 0.3337219578413454)	(30, 0.3453821579309649)	(31, 0.35472789619375034)	(32, 0.3650697319516289)	(33, 0.3772353050350824)	(34, 0.389093259774463)	(35, 0.39930325909916753)	(36, 0.4070230146861392)	(37, 0.41660312883012307)	(38, 0.42485755439607853)	(39, 0.43506755372078304)	(40, 0.4450505014105766)	(41, 0.4524919356386252)	(42, 0.46117116748925274)	(43, 0.46905205649454834)	(44, 0.4778484762857751)	(45, 0.4871722418096982)	(46, 0.49863468724955656)	(47, 0.5080023982512044)	(48, 0.5161323116302732)	(49, 0.5238154459858076)	(50, 0.5317915501928401)	(51, 0.5392036874357389)	(52, 0.5468868217912733)	(53, 0.5562105873151965)	(54, 0.5690719637959576)	(55, 0.5832004348844476)	(56, 0.5939377799418484)	(57, 0.6043675066551764)	(58, 0.6128929293337675)	(59, 0.6206346576596016)	(60, 0.6282225768133991)	(61, 0.6358837384300713)	(62, 0.6455224465443546)	(63, 0.6543554875670187)	(64, 0.6636719288446543)	(65, 0.6756104502931969)
